ID,Name,RA (2000),DEC,L,B,R_Sun,R_gc,X,Y,Z
NGC 6256,,16 59 32.62,-37 07 17.0,347.79,3.31,10.3,3.0,10.0,-2.2,0.6
Pal 15,,16 59 51.0,-00 32 20,18.88,24.30,45.1,38.4,38.9,13.3,18.6
NGC 6266,M 62,17 01 12.80,-30 06 49.4,353.57,7.32,6.8,1.7,6.7,-0.8,0.9
NGC 6273,M 19,17 02 37.80,-26 16 04.7,356.87,9.38,8.8,1.7,8.7,-0.5,1.4
NGC 6284,,17 04 28.51,-24 45 53.5,358.35,9.94,15.3,7.5,15.0,-0.4,2.6
NGC 6287,,17 05 09.13,-22 42 30.1,0.13,11.02,9.4,2.1,9.2,0.0,1.8
NGC 6293,,17 10 10.20,-26 34 55.5,357.62,7.83,9.5,1.9,9.4,-0.4,1.3
NGC 6304,,17 14 32.25,-29 27 43.3,355.83,5.38,5.9,2.3,5.8,-0.4,0.6
NGC 6316,,17 16 37.30,-28 08 24.4,357.18,5.76,10.4,2.6,10.4,-0.5,1.0
NGC 6341,M 92,17 17 07.39,+43 08 09.4,68.34,34.86,8.3,9.6,2.5,6.3,4.7
NGC 6325,,17 17 59.21,-23 45 57.6,0.97,8.00,7.8,1.1,7.7,0.1,1.1
NGC 6333,M 9,17 19 11.26,-18 30 57.4,5.54,10.71,7.9,1.7,7.7,0.7,1.5
NGC 6342,,17 21 10.08,-19 35 14.7,4.90,9.72,8.5,1.7,8.4,0.7,1.4
NGC 6356,,17 23 34.93,-17 48 46.9,6.72,10.22,15.1,7.5,14.7,1.7,2.7
NGC 6355,,17 23 58.59,-26 21 12.3,359.59,5.43,9.2,1.4,9.2,-0.1,0.9
NGC 6352,,17 25 29.11,-48 25 19.8,341.42,-7.17,5.6,3.3,5.3,-1.8,-0.7
IC 1257,,17 27 08.5,-07 05 35,16.54,15.15,25.0,17.9,23.2,6.9,6.5
Terzan 2,HP 3,17 27 33.10,-30 48 08.4,356.32,2.30,7.5,0.8,7.5,-0.5,0.3
NGC 6366,,17 27 44.24,-05 04 47.5,18.41,16.04,3.5,5.0,3.2,1.1,1.0
Terzan 4,HP 4,17 30 39.00,-31 35 43.9,356.02,1.31,7.2,1.0,7.2,-0.5,0.2
HP 1,BH 229,17 31 05.2,-29 58 54,357.44,2.12,8.2,0.5,8.2,-0.4,0.3
NGC 6362,,17 31 54.99,-67 02 54.0,325.55,-17.57,7.6,5.1,6.0,-4.1,-2.3
